# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
2298000 600
550 182.709 1.66608 782.953
551 183.041 1.66845 788.058
552 183.374 1.6709 793.178
553 183.706 1.6731 798.315
554 184.039 1.67608 803.471
555 184.371 1.6772 808.639
556 184.704 1.67934 813.823
557 185.036 1.68153 819.023
558 185.369 1.68278 824.237
559 185.701 1.68367 829.462
560 186.034 1.68457 834.7
561 186.366 1.68588 839.951
562 186.699 1.68711 845.215
563 187.031 1.68772 850.491
564 187.364 1.68825 855.778
565 187.696 1.6895 861.078
566 188.029 1.69016 866.389
567 188.361 1.69021 871.71
568 188.694 1.69021 877.04
569 189.026 1.69062 882.381
570 189.359 1.69011 887.73
571 189.691 1.68938 893.086
572 190.024 1.68938 898.451
573 190.356 1.68879 903.824
574 190.689 1.68871 909.206
575 191.021 1.68787 914.595
576 191.354 1.68699 919.99
577 191.686 1.68652 925.393
578 192.019 1.68568 930.803
579 192.351 1.6839 936.216
580 192.684 1.68253 941.635
581 193.016 1.68108 947.058
582 193.349 1.67885 952.483
583 193.681 1.67724 957.912
584 194.014 1.67568 963.346
585 194.346 1.67424 968.784
586 194.679 1.67235 974.225
587 195.011 1.67066 979.67
588 195.344 1.66748 985.114
589 195.676 1.66554 990.561
590 196.009 1.66314 996.009
591 196.341 1.65995 1001.46
592 196.674 1.65745 1006.9
593 197.006 1.65454 1012.35
594 197.339 1.65137 1017.8
595 197.671 1.64844 1023.24
596 198.004 1.64621 1028.69
597 198.336 1.64314 1034.14
598 198.669 1.63943 1039.58
599 199.001 1.63535 1045.02
600 199.334 1.63273 1050.46
