#    Conf       T(K)      KE (Kcal/mol)  PE Kcal/mol     Pressure (bar)      Pxx(bar)     Pyy(bar)        Pzz(bar)        Pxy(bar)     Pxz(bar)        Pyz(bar)  
   604080        1.40834       16.78743   -18720.50977        3.73402        3.53542        3.68019        3.98646        0.11847       -0.02324        0.03325
   604090        1.40332       16.72764   -18719.76758        3.72227        3.62992        3.58749        3.94939        0.06556       -0.02862        0.01448
   604100        1.41272       16.83968   -18794.91992        3.63839        3.64544        3.52284        3.74690        0.03978       -0.01401       -0.00468
   604110        1.42727       17.01309   -18901.58789        3.52584        3.52978        3.45886        3.58889        0.05159       -0.01295       -0.02842
   604120        1.42473       16.98278   -18929.25977        3.48452        3.43927        3.40287        3.61141        0.10583        0.04591       -0.03289
   604130        1.41566       16.87467   -18927.43750        3.47490        3.38004        3.39619        3.64847        0.12326        0.08383       -0.03721
   604140        1.40130       16.70358   -18896.97070        3.49438        3.34002        3.44493        3.69820        0.09874        0.02856       -0.06597
   604150        1.38276       16.48261   -18838.46094        3.54264        3.34012        3.54171        3.74607        0.12390        0.04779       -0.02319
   604160        1.37221       16.35682   -18809.84180        3.56622        3.38554        3.53747        3.77566        0.13575        0.06212       -0.00893
   604170        1.39164       16.58844   -18921.61133        3.47120        3.34302        3.41477        3.65582        0.15408        0.00447       -0.00436
   604180        1.41408       16.85586   -19041.99219        3.37248        3.23468        3.39121        3.49154        0.11195        0.02393        0.10057
   604190        1.40376       16.73293   -18994.88672        3.41982        3.29605        3.54092        3.42251        0.05402        0.00157        0.21944
   604200        1.39059       16.57586   -18929.36328        3.47817        3.49782        3.56938        3.36730        0.00116       -0.03832        0.27043
   604210        1.40411       16.73705   -18992.53320        3.41914        3.54259        3.40849        3.30634       -0.02921       -0.00272        0.26266
   604220        1.40576       16.75670   -18992.88672        3.41512        3.56492        3.40104        3.27939       -0.00928       -0.00232        0.22279
   604230        1.39230       16.59627   -18914.67969        3.47969        3.57877        3.52500        3.33529        0.03868       -0.01597        0.24221
   604240        1.39835       16.66836   -18929.98242        3.46352        3.56518        3.50466        3.32072        0.00547        0.01541        0.28975
   604250        1.41525       16.86985   -18996.08789        3.40614        3.57409        3.35719        3.28712       -0.11136        0.05570        0.26267
   604260        1.42057       16.93328   -19002.80078        3.40994        3.56540        3.34160        3.32283       -0.18224        0.04097        0.18058
   604270        1.40612       16.76101   -18909.89063        3.50741        3.58522        3.45345        3.48357       -0.14905        0.02442        0.09030
   604280        1.40820       16.78583   -18898.19727        3.53612        3.57577        3.50441        3.52817       -0.12547        0.07071        0.04791
   604290        1.41735       16.89486   -18920.67773        3.53072        3.52061        3.42449        3.64707       -0.13009        0.06606        0.04391
   604300        1.41290       16.84180   -18875.28320        3.57840        3.47639        3.45730        3.80151       -0.10466        0.03730        0.04131
   604310        1.41669       16.88698   -18871.38867        3.58335        3.50381        3.49824        3.74798       -0.11299       -0.03913        0.06089
   604320        1.42466       16.98195   -18888.92773        3.55960        3.56212        3.51238        3.60430       -0.05536       -0.09028        0.08085
   604330        1.43326       17.08455   -18911.12891        3.52665        3.56136        3.52462        3.49397        0.05472       -0.14110        0.08725
